title,release_date,categories,sub_categories,price,img_url,desc,rating,reviews_count
"WARHAMMER 40,000: DARKTIDE","DEC 1, 2022",Survival;Adventure;,Multiplayer;,665000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1361210/header.jpg?t=1697723173,dummy desc,2,64420
BACK 4 BLOOD,"OCT 12, 2021",Survival;,Multiplayer;,198000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/924970/header.jpg?t=1672856194,dummy desc,2,36641
PROJECT ZOMBOID,"NOV 9, 2013",Survival;,Open World;Multiplayer;,260000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/108600/header.jpg?t=1691508011,dummy desc,4,180420
LORDS OF THE FALLEN,"OCT 13, 2023",Horror;Action;,,990000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1501750/header.jpg?t=1697804311,dummy desc,2,12372
LIES OF P,"SEP 18, 2023",Horror;Action;,Action RPG;,1050000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1627720/header.jpg?t=1697438157,dummy desc,4,10459
WARHAMMER: VERMINTIDE 2,"MAR 9, 2018",Horror;,,77000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/552500/header.jpg?t=1697731296,dummy desc,4,74413
PHASMOPHOBIA,"SEP 19, 2020",Horror;,Multiplayer;,160000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/739630/header.jpg?t=1693954450,dummy desc,5,496593
SNOWRUNNER,"MAY 18, 2021",Racing;Simulation;Adventure;,,200000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1465360/header.jpg?t=1697715028,dummy desc,4,22238
BEAMNG.DRIVE,"MAY 29, 2015",Racing;Simulation;,,220000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/284160/header.jpg?t=1697812961,dummy desc,5,186721
MAD MAX,"SEP 1, 2015",Racing;Action;,Open World;,47000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/234140/header.jpg?t=1634068672,dummy desc,4,44308
CARX DRIFT RACING ONLINE,"NOV 18, 2017",Racing;Simulation;,Multiplayer;,205000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/635260/header.jpg?t=1694001671,dummy desc,5,63549
THE WALKING DEAD: THE TELLTALE DEFINITIVE SERIES,"OCT 30, 2020",Visual Novel;Horror;,,97500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1449690/header.jpg?t=1691747434,dummy desc,5,8371
ヘブンバーンズレッド,"AUG 10, 2022",Visual Novel;,,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1973710/header.jpg?t=1682507947,dummy desc,4,3144
LOVECHOICE,"NOV 15, 2021",Visual Novel;,,30000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/939400/header.jpg?t=1679322588,dummy desc,5,21351
PERSONA 5 ROYAL,"OCT 21, 2022",Visual Novel;,JRPG;Anime;,1380000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1687950/header.jpg?t=1688115070,dummy desc,5,33871
LIMBUS COMPANY,"FEB 27, 2023",Visual Novel;,Strategy RPG;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1973530/header.jpg?t=1696582370,dummy desc,3,23517
CRUSH CRUSH,"OCT 19, 2016",Visual Novel;,Anime;,0.0,https://cdn.cloudflare.steamstatic.com/steam/apps/459820/header.jpg?t=1697586778,dummy desc,4,24172
魔女的夜宴,"JUL 21, 2023",Visual Novel;Casual;Adventure;,,342500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/2458530/header.jpg?t=1690430359,dummy desc,5,1098
DISCO ELYSIUM - THE FINAL CUT,"OCT 15, 2019",Visual Novel;,,310000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/632470/header.jpg?t=1681291304,dummy desc,4,76278
NEEDY STREAMER OVERLOAD,"JAN 21, 2022",Visual Novel;,Anime;,175000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1451940/header.jpg?t=1689126674,dummy desc,5,27262
THE WOLF AMONG US,"OCT 11, 2013",Visual Novel;Adventure;,,82500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/250320/header.jpg?t=1686747108,dummy desc,5,25688
SUMMER MEMORIES,"JUN 15, 2020",Visual Novel;,,188000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1227890/header.jpg?t=1697798559,dummy desc,4,11782
PGA TOUR 2K23,"OCT 14, 2022",All Sports;Simulation;,,330000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1588010/header.jpg?t=1690902331,dummy desc,3,2680
GOLF WITH YOUR FRIENDS,"MAY 19, 2020",All Sports;Casual;,Multiplayer;,300000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/431240/header.jpg?t=1695665694,dummy desc,4,39643
UNDISPUTED,"JAN 31, 2023",All Sports;,,592500.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1451190/header.jpg?t=1686139462,dummy desc,3,9264
OUT OF THE PARK BASEBALL 24,"MAR 24, 2023",All Sports;Simulation;Strategy;,Strategy RPG;,235000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1937480/header.jpg?t=1683106332,dummy desc,3,565
WWE 2K23,"MAR 16, 2023",All Sports;Simulation;,Multiplayer;,1000000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1942660/header.jpg?t=1697822265,dummy desc,4,2725
NBA 2K23,"SEP 8, 2022",All Sports;Simulation;,Multiplayer;,1000000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1919590/header.jpg?t=1677540477,dummy desc,2,35614
FOOTBALL MANAGER 2023,"NOV 8, 2022",All Sports;Simulation;,,970000.0,https://cdn.cloudflare.steamstatic.com/steam/apps/1904540/header.jpg?t=1680627762,dummy desc,4,12094
